MS&LR Gauge,PDF file,PDF Page number,Transcribed Location
Combs Moss,TYRain_1840-1849_E_pt1,2,Combs Moss
Combs Reservoir,TYRain_1840-1849_E_pt1,3,Combs Reservoir
Combs Reservoir,TYRain_1840-1849_E_pt1,4,Combs Reservoir
Chapel-en-le-Frith,TYRain_1840-1849_E_pt1,5,Chapel-en-le-Frith
Woodhead Station,TYRain_1840-1849_E_pt1,10,Woodhead Station
Whaley Bridge,TYRain_1840-1849_E_pt1,14,Whaley Todds Brook Reservoir
Marple Top Lock,TYRain_1840-1849_E_pt1,15,Marple Top
Marple Top Lock,TYRain_1840-1849_E_pt1,16,Marple Top
Bosley Reservoir,TYRain_1840-1849_E_pt1,17,Bosley Reservoir
Manchester Fairfield,TYRain_1840-1849_E_pt1,38,Fairfield
Manchester Fairfield,TYRain_1840-1849_E_pt1,41,Fairfield
Ashton Waterhouses,TYRain_1840-1849_E_pt1,53,Waterhouse Lock
