Block Id,BlockType,TextType,Confidence,Top,Left,Text
[b2375de5-8587-42ec-9a18-195687c7edf7],WORD,PRINTED,99.838,0.03057,0.25683,[REGISTER]
[e184484b-e1b0-4e70-80da-2cefdb690d5f],WORD,PRINTED,99.966,0.03076,0.41395,[OF]
[a8e5222b-0f6f-43e4-b8d0-8ffa36aeae29],WORD,PRINTED,99.786,0.02924,0.46869,[RAINFALL]
[7e68f4e8-feef-47de-a967-cb848788e3f2],WORD,PRINTED,99.948,0.03117,0.63448,[IN]
[1b9b39b0-89a9-45cc-9645-5e86cf98d784],WORD,PRINTED,84.318,0.02989,0.68532,[1873]
[5f33a502-f9ad-4458-bbbf-2ed0fcd457a1],WORD,PRINTED,98.982,0.06046,0.04770,[Kept]
[2b32e7bd-a620-460c-8b58-009c355fad00],WORD,PRINTED,99.897,0.06200,0.09104,[at]
[a4435e86-87bd-443c-8592-d84674436f89],WORD,HANDWRITING,23.474,0.05180,0.12654,[Bodewiyal]
[10ff481f-e87f-4d08-bbc5-173bc4f710ed],WORD,HANDWRITING,79.105,0.05383,0.32100,[Anglesey]
[4ead3e3f-673e-49c5-83d6-43638cc3ebde],WORD,PRINTED,99.862,0.05887,0.60959,[by]
[41d410bf-cf5e-44d8-8cd0-ad9f3c802bee],WORD,PRINTED,99.682,0.08564,0.04548,[Latitude]
[a7d05d1a-42a6-457c-938d-831d06626184],WORD,HANDWRITING,77.883,0.07648,0.12243,[33°20'N]
[33945238-46b7-4e95-a431-f2d56bc77108],WORD,PRINTED,99.962,0.09335,0.59105,[Height]
[7395b8b4-e717-4285-bc83-85bd00b7cd28],WORD,PRINTED,99.904,0.09384,0.64049,[of]
[e3a87373-bfd7-4846-8f0d-ee743e0fb364],WORD,PRINTED,99.747,0.09317,0.65806,[Receiver]
[13c9fc5c-1a88-42d6-9beb-15ce6154ef2d],WORD,PRINTED,99.922,0.08398,0.72874,[Above]
[9440f1a2-38c0-4230-8c0c-9680f2889f99],WORD,PRINTED,99.847,0.08384,0.77503,[Ground]
[b021bd16-edc1-4c9c-b715-8930ed7cb24d],WORD,HANDWRITING,25.157,0.07491,0.83673,[if bins]
[a9ed5970-ae31-45e5-bc88-9a630053caa7],WORD,PRINTED,99.570,0.11669,0.04480,[Longitude]
[be5579e0-75eb-4161-8bc7-48cae3469764],WORD,HANDWRITING,89.792,0.10407,0.13516,[4° 23' W]
[82ebfc1c-5ffa-4527-a326-fe5d1f8736f4],WORD,PRINTED,99.944,0.10406,0.28809,[Time]
[08769cbb-2d44-4fa1-80da-6d5246dbb677],WORD,PRINTED,99.643,0.10404,0.32675,[of]
[4e6652c6-50a7-4948-b583-cc29817d1b32],WORD,PRINTED,99.703,0.10292,0.34473,[Observation]
