Block Id,BlockType,TextType,Confidence,Top,Left,Text
[75db0629-021d-4200-8925-bfab50910a9c],WORD,HANDWRITING,30.275,0.00918,0.53754,[HAW]
[d00e82e4-1a2f-420d-9515-1c90db7010e5],WORD,HANDWRITING,52.509,0.03050,0.05377,[Da.]
[725b33e4-3ead-4af4-890a-a8f407f02f96],WORD,PRINTED,99.911,0.04480,0.26918,[REGISTER]
[8a66abf2-66b9-4905-af19-8a4eb7505743],WORD,PRINTED,99.941,0.04468,0.42770,[OF]
[439c62a3-5124-4edf-8f1e-f6298318fc4e],WORD,PRINTED,99.837,0.04452,0.48348,[RAINFALL]
[2e717b57-dc8f-49a5-a5ab-5f3ee806ffd7],WORD,PRINTED,99.935,0.04541,0.64773,[IN]
[eb2ac787-13c6-4897-9ad4-f500526d61c8],WORD,HANDWRITING,59.944,0.04581,0.69795,[1878]
[6fc35662-0062-41d5-886b-98fc753c0f93],WORD,HANDWRITING,74.663,0.06104,0.33572,[Istation]
[0929dffe-24a5-4349-80c1-e425aeeafe3f],WORD,PRINTED,66.346,0.06085,0.42189,[443]
[38e2696c-605b-4f65-8f34-a40036ae8bb7],WORD,PRINTED,99.130,0.07435,0.05481,[Kept]
[ecfa7639-90a3-4787-85cb-6af0ef472a9f],WORD,PRINTED,99.977,0.07653,0.10470,[at]
[38fc157c-d44c-46d0-866f-94da287178b8],WORD,HANDWRITING,86.416,0.06773,0.16015,[Bodewrya]
[e1ca0245-b171-4526-b2d3-2cd296f05a26],WORD,HANDWRITING,48.315,0.07594,0.34566,[272]
[04d0fe30-7058-4d52-af2b-3e6807c7bcca],WORD,HANDWRITING,99.879,0.07024,0.38061,[the]
[4cfed93c-b1f1-48b2-9f24-18a6156a3f5c],WORD,HANDWRITING,95.982,0.06852,0.43199,[County]
[02e2c906-9430-437a-bb81-4b1290f69932],WORD,HANDWRITING,75.429,0.06772,0.52312,[of Angleseyby]
[45b82d8d-3462-4417-82d0-4af352939671],WORD,HANDWRITING,25.567,0.07130,0.84758,[xtho]
[82100c86-14ca-4cce-bf66-1c4400bfd1d2],WORD,HANDWRITING,82.532,0.07132,0.90645,[Jones]
[c1a0b3d8-1657-4b59-88f0-f7b821ef9b47],WORD,PRINTED,99.679,0.09819,0.05391,[Latitude]
[5baf957a-dc10-422a-98d7-38845cce624b],WORD,HANDWRITING,35.882,0.09176,0.13848,[53.23.NT]
[a1d79796-76b7-4f39-a60c-587908aebeee],WORD,PRINTED,99.936,0.09959,0.73341,[Above]
[f2b44000-ded5-445f-89a1-fcd8fcad519f],WORD,PRINTED,99.903,0.10011,0.78059,[Ground]
[359c4efb-a2c4-42e2-9244-6127e4419c53],WORD,PRINTED,99.974,0.11338,0.31418,[Time]
[a601978c-5cfc-4ed9-8e85-8d07e6b62832],WORD,PRINTED,99.851,0.11339,0.35303,[of]
[f240200d-6bb0-4bf2-b535-866b89b1e722],WORD,PRINTED,99.879,0.11310,0.37145,[Observation]
[6e289020-431b-4de1-94a2-cea2b481355f],WORD,HANDWRITING,25.491,0.10608,0.48796,[9AM-]
[5d70bc6a-51c5-4103-82a9-cd3fd3fd73ca],WORD,PRINTED,99.934,0.10784,0.59419,[Height]
[178a59bc-cdaf-4ee8-b0e9-e6a895cd2c02],WORD,PRINTED,99.872,0.10855,0.64395,[of]
[211438b7-0c06-4d57-9930-8dd754ac9c8f],WORD,PRINTED,99.787,0.10872,0.66148,[Receiver]
[3430eb8b-017e-4db7-824d-fa0e357bc16a],WORD,PRINTED,99.771,0.11816,0.60664,[of]
[6c92c92b-a2c0-4704-a3fa-d8d9c72937c7],WORD,PRINTED,99.915,0.11830,0.62492,[Rain]
