Block Id,BlockType,TextType,Confidence,Top,Left,Text
[97f2ab3f-689e-4c79-b19b-c3ea05a7a82c],WORD,HANDWRITING,86.722,0.05307,0.03502,[ga]
[ef11ff1f-ab10-400e-b75d-a3bfa19e8986],WORD,PRINTED,99.913,0.04542,0.27408,[REGISTER]
[4cb9dd33-5fa0-46c1-8892-3d54e614304a],WORD,PRINTED,99.960,0.04473,0.43231,[OF]
[77c0118d-1701-453f-9778-69e1a85a2577],WORD,PRINTED,99.780,0.04435,0.48764,[RAINFALL]
[88d67e60-59ac-46e7-bec2-aaf197bff37d],WORD,PRINTED,99.946,0.04448,0.65013,[IN]
[717c1028-eea2-478e-8fcf-d4494074b90b],WORD,PRINTED,96.949,0.04531,0.70204,[18]
[ad5c6043-3ba6-4d99-b182-a24927cb4cbd],WORD,HANDWRITING,52.482,0.04101,0.72382,[73]
[40132e06-de40-45cd-a0ee-f6d89045baed],WORD,PRINTED,99.032,0.07601,0.05931,[Kept]
[e41dea20-e548-43d7-9319-225d07266c4c],WORD,PRINTED,99.972,0.07773,0.10946,[at]
[c2eb187d-1b9f-4597-ab00-51ba9aa8a2b1],WORD,HANDWRITING,96.044,0.06811,0.14864,"[Bodewryd,]"
[3821898f-d070-4d25-b795-5a3102215a7c],WORD,HANDWRITING,55.884,0.06930,0.33356,[Anglesey.]
[23b371ce-43a4-415c-a0f2-88125b257273],WORD,HANDWRITING,90.084,0.06958,0.47839,[[Station]
[9555f662-5cff-4445-9cbd-d23f02345f39],WORD,HANDWRITING,99.581,0.07018,0.58749,[44]]
[59bac5b0-4deb-4886-ba3c-4e1f31c447dc],WORD,HANDWRITING,99.961,0.07452,0.65022,[by]
[28a6181a-564e-4473-ab8d-27449089cdb0],WORD,PRINTED,99.681,0.10003,0.05946,[Latitude]
[a077a118-6c4c-470c-bcb3-4accc8ae565a],WORD,HANDWRITING,70.837,0.09419,0.14255,[53.23N]
[e4989b26-42cc-4a41-92ca-7bb294ff9938],WORD,PRINTED,99.917,0.09829,0.73683,[Above]
[3e2f8ad1-d48b-4267-b078-66e10beb876a],WORD,PRINTED,99.956,0.09846,0.78413,[Ground]
[b495c7e9-3235-44fe-a092-e350b4d4cb00],WORD,PRINTED,99.955,0.11382,0.31937,[Time]
[d59e9958-7660-4b25-bf39-ca51d8b6511e],WORD,PRINTED,99.876,0.11368,0.35757,[of]
[f98d8cd8-bf54-4bbb-bfbc-3da5402e158f],WORD,PRINTED,79.265,0.11347,0.37582,[Observation]
[babbb000-e768-45f3-bfbe-f0315a653ce8],WORD,HANDWRITING,64.245,0.10514,0.45152,[9AM]
[8e5fcc48-a954-4d23-85fa-cf9e76911f48],WORD,PRINTED,99.953,0.10724,0.59806,[Height]
[f7158f67-da93-469d-80e6-a7b655f3d0b9],WORD,PRINTED,99.905,0.10772,0.64811,[of]
[b613935a-1326-44bd-b763-ce3f1fece976],WORD,PRINTED,99.749,0.10779,0.66556,[Receiver]
