Block Id,BlockType,TextType,Confidence,Top,Left,Text
[f78dc122-ef99-4092-8bbe-32533dc6ddc5],WORD,HANDWRITING,19.262,0.02937,0.53621,[ow ly Out]
[a06c0c65-b467-4137-bef9-f4c6251d2298],WORD,PRINTED,99.944,0.06155,0.53840,[ALL]
[d247486a-95e9-4ebf-9c5c-c9ec73bf14af],WORD,PRINTED,99.929,0.06124,0.61631,[IN]
[54bf7ce7-57eb-4fd9-bac3-f7649ddda930],WORD,PRINTED,94.599,0.06151,0.66904,[18]
[1a1fad35-187c-4649-9dbf-fc00e5803011],WORD,PRINTED,99.487,0.09670,0.02477,[Kept]
[bd56c1f5-bc43-4db0-94de-66def31da073],WORD,PRINTED,99.748,0.09695,0.08184,[at]
[c6bf3632-a88a-465c-8475-992e38aee432],WORD,HANDWRITING,30.884,0.08806,0.11713,[Boduaryd]
[3a1aa0d7-cf10-455b-aa22-939e0f277406],WORD,HANDWRITING,26.869,0.08992,0.29110,[Viewage]
[80812f12-1fd9-42ee-b762-14dd86aedd0c],WORD,PRINTED,99.672,0.09533,0.37945,[in]
[169ccfd1-7bc3-44a2-992a-c4a83f1c01ed],WORD,PRINTED,99.937,0.09461,0.40947,[the]
[e95d2556-05a4-4281-8200-0055f80107fc],WORD,PRINTED,99.355,0.09421,0.45033,[County]
[ff575d50-c64a-4742-8ae3-80fd51c6afeb],WORD,PRINTED,99.931,0.09325,0.52641,[of]
[175f13ae-5172-4f8d-8f7a-9f3958dd7449],WORD,HANDWRITING,37.425,0.07706,0.55823,[Angless]
[21fcd124-93af-424f-97e6-92f0984e16d9],WORD,HANDWRITING,99.723,0.09395,0.71354,[by]
[424172dd-52e1-43b6-b841-2927a79102f6],WORD,HANDWRITING,95.077,0.08478,0.74532,[Rev]
[b91210a0-96c3-4d2e-b736-e1ab232cac25],WORD,HANDWRITING,95.057,0.08539,0.79979,[?]
[f57511ca-ce1d-4a51-ae9b-bf71b080ba50],WORD,HANDWRITING,95.630,0.08645,0.82393,[D.]
[071fbc32-27bb-4f2c-9979-2c6f022c6b7c],WORD,HANDWRITING,53.436,0.08078,0.87315,[Morgan]
[d2c0d2c3-dd26-4f9a-b0e4-39c6b3066bd1],WORD,PRINTED,99.483,0.11590,0.59429,[Diameter]
[7315de72-f9f7-42dc-86e0-a69cebe0b62d],WORD,HANDWRITING,86.132,0.10796,0.68833,[5]
[1091d5d4-2cb2-4b74-9c15-21ce9ee56845],WORD,HANDWRITING,56.799,0.10724,0.73024,[when]
[c9e47ac9-e1c9-45aa-81be-69275741855d],WORD,PRINTED,99.698,0.11904,0.02378,[Latitude]
[2fd53fdc-434b-4470-a4b6-cfe5d13bb929],WORD,PRINTED,99.968,0.13668,0.28270,[Time]
