Block Id,BlockType,TextType,Confidence,Top,Left,Text
[e947f11b-a612-4b3f-b41e-bdf47adfb739],WORD,PRINTED,99.967,0.04040,0.11694,[Form]
[3cae645b-9af0-4db2-ba9e-0db13869f674],WORD,PRINTED,99.659,0.03998,0.16486,[3203.]
[cc2c0da5-8395-492d-bb1a-0175754bed3e],WORD,PRINTED,99.867,0.05430,0.11635,[(Formerly]
[88fb9282-b8fe-456b-9bf9-d7d0c9ef6c17],WORD,PRINTED,98.384,0.05435,0.16791,[M.O.]
[f16a7dae-aead-4ebe-851e-a48e6ce88025],WORD,PRINTED,99.837,0.05437,0.19477,[Form]
[cf695c6f-f77f-43e7-a943-3c356d5698dc],WORD,PRINTED,99.228,0.05483,0.22329,[3203.)]
[d8312662-ef58-4304-ac40-7ca9734fa6cb],WORD,PRINTED,99.299,0.03510,0.74312,[202A]
[d4616f91-b92f-4a7d-ac03-d654f7bcf1bf],WORD,PRINTED,99.972,0.08768,0.25519,[AIR]
[247a5ff5-040c-4947-837e-39914cb3659d],WORD,PRINTED,99.722,0.08832,0.30852,"[MINISTRY,]"
[1247e725-507f-455c-9fbe-6f3be94cc46a],WORD,PRINTED,99.719,0.08961,0.56447,[METEOROLOGICAL]
[3849bfe7-72a6-4488-a533-2a8511bf66a5],WORD,PRINTED,99.778,0.09020,0.77215,[OFFICE.]
[e3b8e8f6-c790-4031-b95d-416c1d0f5d62],WORD,PRINTED,98.123,0.14153,0.23680,[METEOROLOGICAL]
[996a8f08-e5fd-4f29-b936-4940be609448],WORD,PRINTED,99.923,0.14333,0.58545,[REGISTER]
[99f91791-22b5-43a3-949e-d42850d5d2bf],WORD,PRINTED,99.892,0.17530,0.16387,[In]
[d477d609-e6bd-44a2-b742-b8c181d4c8e6],WORD,PRINTED,99.933,0.17543,0.18855,[accordance]
[9f652fb2-04ea-4271-bc7a-2d404fc0cb95],WORD,PRINTED,99.907,0.17575,0.27850,[with]
[ef8c0047-3d62-4b42-bc38-edbde50cb87e],WORD,PRINTED,99.977,0.17587,0.32201,[the]
[25947cf2-13cb-441f-9c9c-31dc5235bc86],WORD,PRINTED,99.932,0.17562,0.35389,[instructions]
[8db287fe-1706-48a9-b6a0-610194f4551e],WORD,PRINTED,99.897,0.17694,0.45053,[given]
[9c262002-5a25-4753-a13b-ab7184736bd3],WORD,PRINTED,99.931,0.17739,0.49829,[in]
[42fea490-554c-4bb9-a95e-438f4a10ad0c],WORD,PRINTED,99.964,0.17737,0.52152,[the]
[a18849dd-65db-4e8d-bc0e-01c9b8b6e20e],WORD,PRINTED,99.921,0.17693,0.55414,[Observer's]
[ec701cab-b1ee-4d04-81d5-c621d263fd2b],WORD,PRINTED,99.900,0.17694,0.64058,[Handbook]
[ba7a7e97-59e3-473a-88f6-f6c2be857259],WORD,PRINTED,94.158,0.17695,0.72301,[(M.O.]
[5494d5bd-e180-408d-895e-333a5adb6447],WORD,PRINTED,96.282,0.17702,0.76973,[191)]
[675579f4-dd5d-4733-9755-5fd14371b8a8],WORD,PRINTED,74.442,0.17885,0.80252,[§]
[68f3e2f1-d878-4807-89a3-5b905c772eec],WORD,PRINTED,97.247,0.17796,0.81461,[8]
[247911f7-0d40-406a-a1fe-3b643298309b],WORD,PRINTED,96.559,0.20036,0.46153,[FOR]
[03b19962-3046-4de7-b41b-198afd1b82d4],WORD,PRINTED,96.460,0.20073,0.48628,[USE]
[bdf93f3b-918b-4d1f-a6e6-09ce87e403d8],WORD,PRINTED,99.410,0.20105,0.50940,[AT]
[9c11ff51-5931-4961-a0b9-8cd1b230ae9a],WORD,PRINTED,98.550,0.21622,0.34235,[CLIMATOLOGICAL]
[3d1b51f9-ef45-49cd-a745-6f772582e18b],WORD,PRINTED,99.905,0.21757,0.54208,[STATIONS]
[681a01bc-ecbd-4023-bc56-92dc93063f5f],WORD,PRINTED,99.592,0.23540,0.32167,[(Stations]
[0bc729e2-6330-4f3c-9fb0-718892513e1e],WORD,PRINTED,99.561,0.23573,0.37166,[of]
[4105595b-7f21-41cd-8551-8a6dd1d53226],WORD,PRINTED,99.970,0.23581,0.38815,[the]
[72356c05-bc7d-4eb5-a5ea-9ee686d3be75],WORD,PRINTED,99.970,0.23563,0.41004,[Third]
[dca33322-cb22-443a-a11f-b77e0ac71571],WORD,PRINTED,99.912,0.23601,0.44596,[Order]
[d9554c38-71a0-46db-ae19-404b41b614a7],WORD,PRINTED,99.201,0.23672,0.48077,[of]
[ed5d0e79-54f1-484f-bb91-28a730e5de53],WORD,PRINTED,99.963,0.23690,0.49706,[the]
[d2ca4912-a790-4991-b10f-63534d9facbd],WORD,PRINTED,99.797,0.23651,0.51855,[International]
[a6d91462-8a5d-4cf1-807e-72a9254f516f],WORD,PRINTED,94.155,0.23735,0.59196,[Classification)]
[9477f9f0-46a1-4a9e-a364-d5605ff960a9],WORD,PRINTED,99.912,0.25438,0.24788,[IN]
[320496b8-35c7-4856-a64a-7b77c2ec2565],WORD,PRINTED,99.829,0.25430,0.26534,[CONNECTION]
[61a15a1e-d08e-403c-bfce-3520f4ff41b7],WORD,PRINTED,99.911,0.25439,0.34165,[WITH]
[c1a7f109-def1-48f3-a4fc-222471a11ac1],WORD,PRINTED,99.946,0.25487,0.37842,[THE]
[9e46798e-8214-4b08-a229-f834fe5241f9],WORD,PRINTED,99.748,0.25497,0.40720,[METEOROLOGICAL]
[76ca2297-535e-4fed-89b0-3dafcce47529],WORD,PRINTED,99.605,0.25644,0.51487,[OFFICES]
[aa26aa8a-5f85-481b-8a48-8826c07e0ea4],WORD,PRINTED,99.916,0.25678,0.56796,[IN]
[4a70078f-32d6-4a4b-b955-b82444d67b92],WORD,PRINTED,99.959,0.25695,0.58528,[LONDON]
[cd40568c-3acc-40c0-af78-1887c0edd2ba],WORD,PRINTED,99.982,0.25735,0.63619,[AND]
[b3aa4167-336a-4653-bbc6-bbaac05180dd],WORD,PRINTED,82.537,0.25725,0.66593,[EDINBURGH.]
[c5ca2370-dff3-49b3-ba37-0f8c04fde28a],WORD,PRINTED,99.630,0.27400,0.18313,[Station]
[c10de745-d1ec-4ddf-96ce-b58d2c9ff27e],WORD,HANDWRITING,98.283,0.27157,0.27333,[KESWICK]
[8712146f-6c87-4dc9-864f-6a5eecc276f5],WORD,PRINTED,99.940,0.27548,0.43358,[Month]
[b5ffcd82-79bd-4454-8171-679f8eb36717],WORD,PRINTED,99.957,0.27691,0.50292,[and]
[6e45eb36-6e7c-4765-8515-3d0acd6dec1b],WORD,PRINTED,99.951,0.27659,0.54858,[Year]
[4eb641d0-9d71-4504-945e-2d40ce085833],WORD,HANDWRITING,99.160,0.27318,0.61455,[JANUARY]
[0939dae2-bc09-4300-a391-1d63541306f7],WORD,PRINTED,87.573,0.27756,0.75177,[1924]
[21d85988-7199-4f7b-ae1c-935c5f885de7],WORD,PRINTED,13.089,0.26309,0.82757,[STEORO]
[5df1400a-065d-4344-93e1-c150902cb851],WORD,PRINTED,46.140,0.28736,0.84830,[6-FEB]
[5680dde0-9f58-4264-b454-81a3601a40f8],WORD,PRINTED,98.048,0.29252,0.89532,[1924]
[b5868dbc-d427-4758-8855-da4341a4ca8d],WORD,PRINTED,99.691,0.29707,0.40514,[INSTRUMENTS]
[63a10fa5-0169-4df0-b221-f1e279091042],WORD,PRINTED,99.954,0.29814,0.51852,[IN]
[b9adbe43-832e-41f9-b992-d2ff4b5195b5],WORD,PRINTED,98.761,0.29796,0.54461,[USE.]
[ca15100b-9ea8-4b06-ab1d-78439354adfb],WORD,PRINTED,66.335,0.30864,0.20842,[NOTE.-Observers]
[74bd3b66-af00-4550-9a4f-c609486a3bf6],WORD,PRINTED,99.957,0.30890,0.29900,[should]
[9a57faa4-62b8-48b7-98d7-790f7f5bbc6c],WORD,PRINTED,99.783,0.30947,0.33458,[communicate]
[86666aa3-cec9-4ac9-97fa-4fd0bdee7abb],WORD,PRINTED,99.966,0.30969,0.39963,[with]
[27925320-10f1-4639-a63e-d1405b6ea031],WORD,PRINTED,99.967,0.30982,0.42496,[the]
[d108f5f1-c8d8-456c-b37e-18a1c204ae6d],WORD,PRINTED,99.784,0.31003,0.44408,[office]
[1b5932e5-41a8-4563-a690-fd8597c17ec7],WORD,PRINTED,99.943,0.31019,0.47280,[before]
[d97add5a-bcaf-4c1a-8e4c-f6ea4e8ced86],WORD,PRINTED,99.976,0.31067,0.50535,[making]
[bfad33ec-2990-4379-b8d9-7d468c21fb2d],WORD,PRINTED,99.849,0.31278,0.54402,[any]
[7fa9185c-bd31-4441-942f-281740f12acb],WORD,PRINTED,99.892,0.31090,0.56596,[change]
[8146e155-bce0-491c-abc2-afb02c8470a3],WORD,PRINTED,99.921,0.31085,0.60266,[in]
[b91f4462-b7b9-4692-8d24-1bf8ac427b44],WORD,PRINTED,99.971,0.31079,0.61698,[the]
[781b4a9d-c361-4223-8c68-49d1d12bf388],WORD,PRINTED,99.691,0.31118,0.63613,[instruments]
[fbe3f2c4-7ac8-4b1b-a4c8-19ec665202d9],WORD,PRINTED,99.796,0.31310,0.69572,[or]
[3816d556-62ce-42cc-abd6-f3203023b27b],WORD,PRINTED,99.949,0.31117,0.71020,[their]
[eb51f376-a322-4166-b4b9-8e0f8d232443],WORD,PRINTED,99.822,0.31134,0.73635,[position.]
[a14b1b97-4b96-4efa-aade-5286a5cb3b7f],WORD,PRINTED,98.678,0.32317,0.33687,[Date]
[853bded4-be98-470c-848f-8045e707ebfd],WORD,PRINTED,97.681,0.32290,0.35166,[of]
[abedac56-09c5-47f7-a611-5742c8bbf974],WORD,PRINTED,96.116,0.32496,0.58515,[Instru-]
[d51a28d8-5bf2-4338-8da1-64e634ea26e7],WORD,PRINTED,95.613,0.32553,0.83368,[Instru-]
[f828cc1c-0343-4689-9d79-ccf9c3137f8b],WORD,PRINTED,88.593,0.32780,0.33291,[Correction]
[bc47ddd3-95b1-47aa-bd51-3ff976eda02e],WORD,PRINTED,96.430,0.32918,0.58525,[mental]
[b95fce74-4a33-4998-b86d-9aeef058d63c],WORD,PRINTED,98.793,0.32993,0.83384,[mental]
[ea184dbf-b0eb-4392-a6f3-95d7a36ced15],WORD,PRINTED,93.858,0.33213,0.34028,[Card.]
[dc00907d-83c9-4ecc-9ebb-9480c60d8b87],WORD,PRINTED,59.311,0.33307,0.25575,[No.M0567]
[ec6628b0-5df1-40ca-9bb8-526c45ee7821],WORD,PRINTED,67.520,0.33368,0.57785,[Corrections.]
[ceb67a7b-dd5a-42fe-80c7-65bb9f91d075],WORD,PRINTED,61.992,0.33437,0.82780,[Corrections.]
[72a2706d-af4e-4805-858d-8eac963aa480],WORD,PRINTED,99.710,0.33480,0.12973,[Barometer]
[93ea76b7-4f9e-465f-9495-76a380d7b53a],WORD,PRINTED,99.929,0.33551,0.37924,[Dry]
[5b388118-6671-4987-aae9-255bc28f7a45],WORD,PRINTED,99.843,0.33560,0.40046,[Bulb]
[58854dfd-9239-4600-8ff0-2ecc82de4c55],WORD,PRINTED,98.058,0.33586,0.50356,[No.105448]
[e97cf2fd-3303-410c-9aee-7788e43b0aa0],WORD,PRINTED,99.939,0.33685,0.62676,[Earth]
[a04d455c-b905-41a5-b3e7-354359dec9e4],WORD,PRINTED,99.745,0.33687,0.65454,[Thermometer]
[cd12e493-c4de-48a7-8b65-357216a1f254],WORD,PRINTED,93.903,0.33728,0.72010,[1]
[f06746d8-29bb-47eb-8fef-71638fd33802],WORD,PRINTED,98.397,0.33724,0.72849,[ft.]
[6f61438a-d004-42ba-9e33-1f456242aa75],WORD,PRINTED,79.982,0.33707,0.76264,[No105405]
[1d2429cf-425b-41d7-95a8-373ca3baa3db],WORD,PRINTED,99.593,0.35249,0.12926,[Sunshine]
[b35ea323-6fe6-4546-9f2d-0a1d4bfb6291],WORD,PRINTED,99.740,0.35249,0.17486,[Recorder]
[4a332d10-bcb2-40b9-a9fb-967f6131034e],WORD,PRINTED,99.365,0.35255,0.25517,[No.]
[0089a885-d7d0-4f9f-aca7-d9e78d9f3e06],WORD,HANDWRITING,99.934,0.35038,0.28072,[126]
[93bfc7cb-faaa-4f09-a01a-fdd185fe182a],WORD,PRINTED,99.062,0.35318,0.37936,[Wet]
[5d34bb4c-43eb-42f2-85c0-8e9904854522],WORD,PRINTED,99.907,0.35334,0.40111,[Bulb]
[b6692ef2-58e0-48b1-8fc4-2c758f697352],WORD,HANDWRITING,91.975,0.35427,0.50269,[No.105449]
[280ebeb3-cf81-4be1-9239-214ffd3e1745],WORD,PRINTED,97.714,0.35592,0.71908,[4]
[e77d9eba-ea33-40b2-b310-7c2d0c14cddc],WORD,PRINTED,98.860,0.35524,0.72796,[ft.]
[cc857a52-7cb3-4eda-8c3f-081ccaa180dd],WORD,PRINTED,95.724,0.35461,0.76276,[No.105409]
[a2b667d5-fa7c-4b75-a132-680467c019a5],WORD,PRINTED,99.914,0.37093,0.12939,[Rain]
[91ec9d62-bb13-4e35-bc59-9052dc38f2f2],WORD,PRINTED,99.762,0.37106,0.15403,[Gauge]
[23c49a87-1ae2-4339-ac2b-0fbf2db0e53d],WORD,PRINTED,96.534,0.37075,0.27200,[3280]
[9ef3d59f-3327-462d-81e6-ebd8feaf024b],WORD,PRINTED,99.858,0.37106,0.37912,[Maximum]
[eb383e08-990a-41a8-b43e-7fdd17cdb7b4],WORD,PRINTED,99.524,0.37153,0.42774,[Thermometer]
[cb841d19-6687-4d64-8e43-eecada5374d3],WORD,PRINTED,94.971,0.37217,0.50290,[No.105493]
[de431efc-4c14-4cba-bf80-4f3deecaf147],WORD,PRINTED,99.898,0.37270,0.62680,[Solar]
[cda3a9c5-4a0f-4767-a6c8-d7f5a42e29ed],WORD,PRINTED,99.852,0.37254,0.65200,[Maximum]
[10bec33c-0416-4a46-b690-0807beccc3d9],WORD,PRINTED,99.501,0.37260,0.69926,[Thermometer]
[d47d8cfd-d1bb-426b-ad78-6b9457be4b45],WORD,PRINTED,63.817,0.37284,0.76288,[No.132359]
[ad23f6d9-ad57-401d-8562-6c690181eb58],WORD,PRINTED,99.901,0.38916,0.12903,[Measuring]
[d8282c8e-b072-41ce-83f3-87c2cae29b64],WORD,PRINTED,99.444,0.38921,0.17940,[Glass]
[3fbdaec3-6817-4198-a609-82e9f40a6187],WORD,PRINTED,96.926,0.38789,0.25703,[No.2422]
[9d3cb0d5-1714-4393-a1fd-1a7a5a40c2df],WORD,PRINTED,99.878,0.38938,0.37938,[Minimum]
[5313a9ff-465f-4895-a002-bdebce679184],WORD,PRINTED,96.550,0.38927,0.50313,[No.105498]
[50db4d98-90cb-44ee-853b-16f303dfd89d],WORD,PRINTED,99.717,0.39084,0.62664,[Grass]
[642eb2d7-9656-43d9-bad1-c947ca51a31c],WORD,PRINTED,99.741,0.39077,0.65341,[Minimum]
[6e4606fc-6001-48bc-a5d6-7d9b333ffe9e],WORD,PRINTED,97.864,0.39080,0.76220,[No.120002]
[be9fbdcd-5ab0-4b1e-b2c2-4e7ebeb68b5b],WORD,PRINTED,99.860,0.40584,0.15549,[It]
[a1996be9-8e29-4952-ba7b-da3d43c968d3],WORD,PRINTED,99.915,0.40624,0.17230,[is]
[6ac17eb1-50e1-437f-9351-af12880e91ea],WORD,PRINTED,99.796,0.40592,0.18864,[desirable]
[dae50392-b4ec-443f-85a3-c32a95234676],WORD,PRINTED,99.961,0.40598,0.24091,[that]
[3e2c0cb3-1413-4df6-ac16-6d5905e46924],WORD,PRINTED,99.946,0.40602,0.26956,[the]
[ebc458d9-fb06-4867-bff2-8c0d8e6f5b58],WORD,PRINTED,99.506,0.40604,0.29309,[readings]
[7fba5035-0d2c-4b70-9e20-0916ce50f866],WORD,PRINTED,99.583,0.40647,0.34371,[of]
[4dab65f8-15a7-42e2-b026-23c971f80805],WORD,PRINTED,99.875,0.40657,0.36235,[the]
[51560e66-82ee-4fd1-96ef-fc5a5cccaba8],WORD,PRINTED,98.846,0.40625,0.38635,[thermometers]
[3548ef31-e8e5-4f70-aeec-b2dd93854fa5],WORD,PRINTED,99.970,0.40648,0.46318,[should]
[3e21c0fb-5893-4194-8c05-0fb6995f207b],WORD,PRINTED,99.844,0.40637,0.50458,[be]
[1e533de9-afc9-41cc-a690-8cfc895248c5],WORD,PRINTED,99.899,0.40690,0.52380,[corrected]
[95ccd442-62d9-4a97-8291-7dc1873cf3c8],WORD,PRINTED,99.953,0.40743,0.57779,[for]
[9ab12e29-a0ec-4502-a252-9650c1022534],WORD,PRINTED,99.775,0.40738,0.60078,[instrumental]
[1ad63f45-f558-4444-b1ac-66ff8b86b41d],WORD,PRINTED,99.726,0.40981,0.67326,[errors]
[dcfff7b7-5c54-4dd5-8710-c85f8245e1fb],WORD,PRINTED,99.963,0.40739,0.71087,[before]
[ee672aea-e62a-4192-8cd8-3d1da5879e41],WORD,PRINTED,99.921,0.40747,0.74988,[being]
[2be7132a-5709-4cea-ae2e-8612810c2854],WORD,PRINTED,99.925,0.40792,0.78590,[entered]
[67162e18-eabc-47fe-b75d-902e561062b7],WORD,PRINTED,99.881,0.40823,0.82800,[in]
[4ac2f40e-a409-4d63-a63f-327ab1682144],WORD,PRINTED,99.935,0.40801,0.84406,[this]
[bfd6746a-4bac-4c27-923c-be6e1db58d3f],WORD,PRINTED,99.721,0.41668,0.11658,[form.]
[3b95fb97-3779-4ba9-be1a-7d10ba1d1f33],WORD,PRINTED,99.967,0.41579,0.15691,[The]
[362aad53-8fda-41c2-bbe3-a3f2c20b519d],WORD,PRINTED,99.924,0.41638,0.18265,[action]
[a64ca25a-bf19-451c-aeba-e25ccceee464],WORD,PRINTED,99.915,0.41610,0.21934,[taken]
[2aadfd60-1b57-41a9-801f-24c51fa4efca],WORD,PRINTED,99.966,0.41571,0.25191,[should]
[d2e45ef3-b64b-486e-983a-a37721ce3fee],WORD,PRINTED,99.941,0.41629,0.29195,[in]
[174d358d-611b-4f54-8517-996500b739c7],WORD,PRINTED,99.882,0.41841,0.30754,[every]
[1c0ad8e5-56fb-45cd-b22c-2b980c318670],WORD,PRINTED,99.784,0.41844,0.34203,[case]
[9aceb86c-d7da-45bb-a540-9856060b14ac],WORD,PRINTED,99.882,0.41633,0.36702,[be]
[b0ccaadd-7802-4132-9607-b6420b5de673],WORD,PRINTED,99.896,0.41598,0.38505,[indicated]
[2210415c-0089-4930-bdca-f2b4e6461174],WORD,PRINTED,99.953,0.41774,0.43564,[at]
[c859bee9-4a97-4060-90d5-885bb2b81253],WORD,PRINTED,99.966,0.41638,0.45197,[the]
[0fa85e75-c302-4903-9a03-616227a4d19d],WORD,PRINTED,99.840,0.41640,0.47371,[foot]
[82198f90-4609-43a8-a75f-dfe4fe77c9f0],WORD,PRINTED,98.652,0.41634,0.49928,[of]
[29c95980-767b-4f5a-a169-460e252f67a8],WORD,PRINTED,99.966,0.41661,0.51570,[the]
[b199b4d6-bc3d-4763-ade5-49f4a88d17d4],WORD,PRINTED,99.883,0.41718,0.53791,[corresponding]
[52c627b6-b87d-4f08-997b-971fde880e6d],WORD,PRINTED,99.399,0.41729,0.61535,[column.]
[d34f4429-9923-40f0-85f3-1f22aecc6160],WORD,PRINTED,99.775,0.43475,0.31130,[OBJECTS]
[9d44b0f7-4f11-41f7-8044-1b1da41ba995],WORD,PRINTED,99.953,0.43473,0.38232,[USED]
[6d7532b9-437f-4285-a169-a8cec9a79094],WORD,PRINTED,99.917,0.43494,0.42960,[FOR]
[ecd8ed29-46d5-41f5-9cf5-3d743f8db47a],WORD,PRINTED,99.628,0.43533,0.46498,[ESTIMATES]
[b83a58d2-9156-4cab-8656-5ab672f19538],WORD,PRINTED,99.945,0.43611,0.55437,[OF]
[5df90550-b8c1-4192-87e1-80e5877f4ac9],WORD,PRINTED,95.747,0.43622,0.58104,[VISIBILITY.]
[9fe19916-0383-4d2a-80a8-7e67b0b4af42],WORD,PRINTED,99.397,0.45161,0.14008,[Standard]
[9dcba433-fbdb-421a-9845-07cf2f7edd13],WORD,PRINTED,96.967,0.45851,0.14024,[Distance.]
[fe98bfd7-3b2b-43db-9f9c-ff01ac8c1d26],WORD,PRINTED,99.594,0.45494,0.24764,[Object]
[51fd7a50-384f-418a-baf0-c44f04cb0a4e],WORD,PRINTED,99.818,0.45521,0.34816,[Standpoint]
[10ec1edd-48d9-44b0-947e-f1e89508806d],WORD,PRINTED,99.871,0.45212,0.41866,[Actual]
[ac4a81f9-790d-4f27-acf3-7b5634a11cf8],WORD,PRINTED,99.691,0.45885,0.41630,[Distance]
[d3fb349b-9a36-439e-98d4-a9248b6e86f3],WORD,PRINTED,91.727,0.45538,0.45502,[Bearing.]
[f8029217-7680-42c8-b504-b563af4a94a7],WORD,PRINTED,99.898,0.45327,0.51118,[Standard]
