Block Id,BlockType,TextType,Confidence,Top,Left,Text
[b7c7b317-4102-487d-be0a-fba8b28500da],WORD,HANDWRITING,23.625,0.01322,0.01949,[Alcos]
[3e9edf8c-3998-49e2-a10b-bdcf3560c8d9],WORD,PRINTED,99.872,0.03676,0.23714,[REGISTER]
[1f2f756c-0ab9-4c40-b431-0c5307afcf39],WORD,PRINTED,99.904,0.03540,0.39781,[OF]
[110e9729-265f-48da-a00d-a4ae8b7e5755],WORD,PRINTED,99.804,0.03526,0.45437,[RAINFALL]
[454d0a83-5b5e-4b4e-a9e0-5d80d30dbd3d],WORD,PRINTED,99.948,0.03454,0.62075,[IN]
[faba0467-86c5-4db4-89eb-93aa113e09f3],WORD,PRINTED,94.648,0.03211,0.67222,[187]
[0a2d4c5f-c09f-4feb-9040-90abdc25084d],WORD,PRINTED,99.094,0.07143,0.03616,[Kept]
[8376081c-de77-4d17-a993-d0d7b67bf6fb],WORD,PRINTED,98.621,0.07189,0.09281,[at]
[69054e7b-bd72-4d6d-8c66-ce3a25bbd684],WORD,HANDWRITING,47.757,0.05318,0.10127,[Badorgan]
[76e1e04a-f38f-49d5-9cba-71274913ae33],WORD,PRINTED,99.933,0.06919,0.38636,[in]
[aa676235-7ec1-4a92-a164-a190bd18100e],WORD,PRINTED,99.957,0.06917,0.41630,[the]
[39996f51-19a6-4ecf-a8aa-f5f7a8280953],WORD,PRINTED,98.916,0.06888,0.45602,[County]
[133060a2-e8f5-445d-b887-4ecbadc57c27],WORD,PRINTED,99.685,0.06796,0.53287,[of]
[3e38f387-ad05-441c-a89a-b17641381de4],WORD,HANDWRITING,74.644,0.06278,0.55279,[anglosey]
[cf455bd3-5ae1-4315-90a0-a6ca2d354622],WORD,HANDWRITING,35.368,0.06273,0.71866,[Ing.]
[34787181-c760-44fd-b616-5b06b5e643ef],WORD,HANDWRITING,53.903,0.05357,0.78327,[Ellain]
[91c64454-af9a-4ef5-b65a-23b11ced98f2],WORD,PRINTED,99.714,0.09481,0.03514,[Latitude]
[0b173916-7f72-4386-801c-dfc9ed4d16b4],WORD,PRINTED,99.850,0.09153,0.59901,[Diameter]
[f13d259f-7707-4efc-97f8-e6c9bcdf35b8],WORD,HANDWRITING,73.179,0.08337,0.68221,[Sin]
[c78cd8cd-5b2c-4ebf-8fe3-d5684e2e72fc],WORD,PRINTED,99.969,0.11215,0.29250,[Time]
[189a8ce0-17d5-4cc6-8ca3-552f870600e1],WORD,PRINTED,99.793,0.11203,0.33123,[of]
[83152d89-9df9-4014-b6f2-dc277b8c2e6d],WORD,PRINTED,99.777,0.11145,0.34980,[Observation]
[2e421e2b-5480-476d-8cbf-0a1f1a39cdb0],WORD,HANDWRITING,58.705,0.10539,0.43164,[a.am]
[644a9bed-d4e9-47e1-9907-a6f18b74fb99],WORD,PRINTED,99.964,0.11050,0.60010,[Height]
[8a860214-109c-4e0e-ad0f-d81b4606325c],WORD,PRINTED,99.842,0.11095,0.65019,[of]
[90f1af74-f59e-45c9-a080-e18f9a5953ee],WORD,PRINTED,99.892,0.11090,0.67175,[Receiver]
[321657db-c0bd-47f6-9ee9-a4327da3836e],WORD,PRINTED,99.825,0.11139,0.73213,[above]
[76338d22-3994-47e6-861b-f0402bd5db1e],WORD,PRINTED,99.931,0.11139,0.77511,[Ground]
[2b8b59d7-4dae-4b34-a101-77ea3a00c820],WORD,HANDWRITING,53.727,0.10028,0.83205,[4 pret]
[d66dfc46-43c4-41e5-879f-8376891bc1cf],WORD,PRINTED,99.508,0.13302,0.03582,[Longitude]
[0b135a85-6933-4905-862d-9e4c2b5b5e18],WORD,PRINTED,99.701,0.13066,0.77403,[Sea]
[65ef7db1-a399-4f7b-936a-2086846d4eeb],WORD,PRINTED,99.869,0.13056,0.80215,[Level]
[5fde292c-fd65-4ba0-827a-2ccdd6413a51],WORD,PRINTED,99.514,0.15198,0.08726,[CONDENSED]
[8db6308e-3926-4ba3-ab30-d27e66b8ac1b],WORD,PRINTED,43.862,0.15126,0.16029,[INSTRUCTIONS.-Fix]
[c0cfe21b-ec86-4ce2-aeed-64c9bb9c737b],WORD,PRINTED,99.901,0.15058,0.28187,[the]
