Block Id,BlockType,TextType,Confidence,Top,Left,Text
[8a995575-abe0-4b9d-80ba-1089cd05efcf],WORD,HANDWRITING,39.654,0.00716,0.30007,[Ia]
[0593a539-a041-49d4-8db3-23d95767f25b],WORD,PRINTED,99.893,0.03058,0.21548,[REGISTER]
[c747ebf5-31bf-45e7-9689-6963a6335be8],WORD,PRINTED,99.984,0.03053,0.39421,[OF]
[b9b6eae9-5f25-4e9a-bfdb-f9e5cb9c6d11],WORD,PRINTED,99.471,0.03030,0.45820,[RAINFALL]
[b4f77113-36d1-452b-86a9-438865533dd8],WORD,PRINTED,99.965,0.03008,0.63489,[IN]
[859beec5-d44a-4abe-bc47-53f7dc98b858],WORD,HANDWRITING,99.094,0.02518,0.68793,[1876]
[777e1626-034c-401c-889f-b44e48059c0d],WORD,PRINTED,96.802,0.06251,0.03516,[Kept at]
[bf1701aa-5a20-4e0a-9c23-f3294f03242a],WORD,HANDWRITING,81.685,0.05369,0.12943,[Bodewryd.]
[e98cae90-a765-457e-bef3-21e27af63119],WORD,HANDWRITING,23.821,0.05202,0.36098,"[Rhosybot.,]"
[935049b6-7c55-45f7-8aeb-1c3b8d025c50],WORD,HANDWRITING,86.771,0.05245,0.49492,[Anglesey]
[543c37b4-2829-465c-bc56-4e2585930d17],WORD,HANDWRITING,99.318,0.06115,0.61548,[by]
[069a246b-9168-4f23-a4b1-c3aa5352cba3],WORD,HANDWRITING,91.740,0.05480,0.64908,[Rev.]
[cd329406-c519-46dc-b2f1-e4a3a137d711],WORD,HANDWRITING,51.132,0.05677,0.71509,[W]
[fe5f60a6-5ed7-4233-9c13-9e87e22ad79c],WORD,HANDWRITING,87.448,0.05764,0.75079,[Wynn]
[17275785-2291-4ace-82e1-63e16dba7303],WORD,HANDWRITING,61.565,0.05502,0.84095,[William]
[b833b569-19d3-43bc-bdfc-c0552d45c086],WORD,PRINTED,63.218,0.08482,0.03297,[Latitude]
[8dc839f6-a1df-4d2f-b47f-22aef0c60284],WORD,HANDWRITING,33.697,0.07944,0.12130,[33.23N.]
[983634e9-5df3-4eaa-8c17-82267016d774],WORD,PRINTED,99.622,0.08396,0.72659,[Diameter]
[207bc394-6b30-4b36-b9ff-f276cd538c59],WORD,HANDWRITING,56.552,0.07411,0.83448,[-inches]
[cf5e9cda-c868-47fc-b86b-a7c746aa9e02],WORD,PRINTED,99.960,0.10418,0.27738,[Time]
[5d8ac1fd-7834-44cb-9f42-ac84d5b2a9d7],WORD,PRINTED,99.862,0.10431,0.31705,[of]
[0df5302d-88b9-402a-a0d8-5ba767fac4f0],WORD,PRINTED,99.803,0.10428,0.33603,[Observation]
[e0a89bdd-9bfa-4be7-9756-6aeeba7bdf45],WORD,HANDWRITING,51.385,0.09470,0.41869,[9AM]
[3b981cdc-4d68-4f41-aba3-faa54168c951],WORD,PRINTED,99.788,0.10395,0.54882,[Receiver]
[342f2378-635f-40aa-aa06-08bc5a74a231],WORD,PRINTED,99.898,0.10426,0.61176,[of]
[c82c2c4c-3ba4-4af8-8ff7-e67e4320a7ff],WORD,PRINTED,99.834,0.10403,0.63013,[Rain]
[795fe7de-e19e-454d-bc85-faf92d814fcd],WORD,PRINTED,99.670,0.10455,0.66759,[Gauge]
[439b42c8-e19f-40d9-bd93-bd44b4c50231],WORD,PRINTED,99.952,0.10471,0.72855,[Height]
[cba4c5e9-78f2-4243-b08d-e2d302158346],WORD,PRINTED,99.950,0.10547,0.78034,[above]
[8fb09e4a-e0d6-4ac3-803a-818fc01a457a],WORD,PRINTED,99.923,0.10578,0.82471,[Ground]
[ac02feb8-7744-4680-9ba6-5c03c4f2f3f8],WORD,HANDWRITING,23.334,0.09551,0.87947,[if bin's]
[ccd31acf-6063-442d-ad6c-7940f75c55c7],WORD,PRINTED,99.375,0.12588,0.03358,[Longitude]
[234ff7cc-256f-4fae-93c4-5d0a8f5b37b0],WORD,HANDWRITING,87.797,0.11896,0.12409,[4.23]
[e60de98a-109e-4418-b59b-30f4258ca1de],WORD,HANDWRITING,54.507,0.11779,0.20465,[W.]
[8d0c4c3c-5679-4932-8ff9-b6f0fbd7df63],WORD,PRINTED,99.794,0.12539,0.72853,[Above]
[291a0113-5da8-48ce-9a86-fdedc7d9d7af],WORD,PRINTED,99.697,0.12616,0.77565,[Sea]
[0604b8fe-2190-4d02-887c-2bc695ff7fef],WORD,PRINTED,99.914,0.12637,0.80465,[Level]
[84717466-2a9b-4796-8dfd-d638b9a53ede],WORD,HANDWRITING,32.868,0.11826,0.85588,[17 feet]
[c31f7634-6186-417c-a218-bcc3f19b2c6e],WORD,PRINTED,99.146,0.14240,0.09266,[CONDENSED]
[59ee734b-19eb-4335-8dc0-ffc7b226f54c],WORD,PRINTED,93.383,0.14201,0.16685,[INSTRUCTIONS.-]
[b88dc642-6824-4b0d-8617-2f66270ec310],WORD,PRINTED,97.730,0.14145,0.26780,[Fix]
[c5d9e7f7-ccf4-4947-a3e4-4424d46739ac],WORD,PRINTED,99.378,0.14103,0.29161,[the]
[b92b277c-58ba-465d-9346-a53b76714511],WORD,PRINTED,99.461,0.14283,0.31545,[gauge]
[080036f3-c426-4063-b01a-1b680dacf897],WORD,PRINTED,98.615,0.14009,0.35192,"[firmly,]"
[340f6731-27d4-4a00-ad26-fb0d4f5f96c7],WORD,PRINTED,99.975,0.14025,0.39639,[with]
[81681ac0-3e56-4910-9496-6a310dd78219],WORD,PRINTED,99.973,0.14036,0.42718,[its]
[5bab407c-790a-4106-bc8a-bab78f9b1908],WORD,PRINTED,99.790,0.14015,0.44556,[orifice]
