Block Id,BlockType,TextType,Confidence,Top,Left,Text
[079c3f9b-8967-48fc-9823-f7a5150ceccf],WORD,HANDWRITING,76.367,0.01213,0.19254,[La]
[27886e05-e7ba-4ef1-aeda-8dc379d40947],WORD,PRINTED,99.923,0.04623,0.25752,[REGISTER]
[f7a49275-1185-472b-9f50-e7151c45a1c1],WORD,PRINTED,99.931,0.04545,0.41745,[OF]
[c7f18680-edab-4d96-8bf9-0ca1e2045ce0],WORD,PRINTED,99.822,0.04544,0.47355,[RAINFALL]
[6165e29b-4e08-4f48-b905-68c631db48e5],WORD,PRINTED,99.938,0.04558,0.63977,[IN]
[539de201-b56e-4ebc-ad3f-0b4308e0ce4a],WORD,HANDWRITING,82.027,0.04502,0.69058,[1874.]
[e83d2082-8298-49eb-b899-897ac27d6e12],WORD,PRINTED,99.181,0.07584,0.03945,[Kept]
[d7f22738-9641-4f3b-b042-cbe56a9e10c6],WORD,PRINTED,99.914,0.07792,0.09006,[at]
[b5837c27-fe68-41c9-a1a0-711d6473e067],WORD,HANDWRITING,69.592,0.06959,0.11572,[Bodewrya.]
[f8ad1aca-feb1-4ca8-ba37-ed9bb455864b],WORD,HANDWRITING,89.364,0.07084,0.28699,[Anglesey]
[e248331f-aaec-430c-b7d0-118fecacc15e],WORD,HANDWRITING,61.491,0.07034,0.42375,[(Station]
[3255e591-d137-457e-9f3b-3c19115806d3],WORD,HANDWRITING,75.230,0.06726,0.56071,[44.)]
[ec728155-82f1-4175-9379-3d98057be86e],WORD,HANDWRITING,99.953,0.07607,0.63898,[by]
[05117102-1196-49f2-8185-09d650381a50],WORD,PRINTED,99.527,0.09982,0.03910,[Latitude]
[996dcc56-014e-4eb6-b021-520c832de42e],WORD,HANDWRITING,55.712,0.09382,0.11315,[33.23N.]
[7e7ba41c-c14b-45ff-9c8a-f56b9731caba],WORD,PRINTED,99.891,0.10058,0.72656,[Above]
[f0e86b0b-db4b-4fc6-880b-21f0f3639c1b],WORD,PRINTED,99.928,0.10038,0.77487,[Ground]
[ffc9ec35-a5a9-42ba-a5a8-79af6117184f],WORD,HANDWRITING,20.482,0.09241,0.83538,[libbin]
[3e5c5a0b-a4bd-4012-a99d-0944a0fbb01f],WORD,PRINTED,99.971,0.11450,0.30280,[Time]
