Block Id,BlockType,TextType,Confidence,Top,Left,Polygon Points,Text
[977ad377-b06c-4cc2-b0ee-f0cc5f896f38],WORD,PRINTED,62.454,0.17782,0.24063,4,[March]
[7dca1bbb-af23-4b2b-9e76-d6ae6451d0d0],WORD,PRINTED,67.083,0.17526,0.31170,4,[April.]
[f233ceb7-ff52-4159-98de-adc0ad1ac07a],WORD,PRINTED,94.979,0.18563,0.04454,4,[Date]
[ec6a6b60-7837-4112-9eb6-8394554e9beb],WORD,PRINTED,82.129,0.18360,0.11485,4,[Jan.]
[18d4d4fd-4176-4108-afd4-a4353b7efb9d],WORD,PRINTED,69.702,0.18585,0.51978,4,[=]
[0c17eb5d-40bb-4d49-b857-aab80a35053f],WORD,HANDWRITING,50.456,0.19697,0.25647,4,[is]
[9da3d506-e03b-4eaf-aa8d-6e1abd669d5d],WORD,HANDWRITING,99.598,0.19338,0.44413,4,[0.00]
[960cc7fc-cb12-43a2-9004-4580b81310d9],WORD,PRINTED,74.700,0.19496,0.51058,4,[0.29]
[ef20c76e-af6a-4087-b0c8-82f86456584f],WORD,PRINTED,64.824,0.19131,0.57612,4,[0.23]
[128c4ea8-5885-4194-b379-918b23c195e4],WORD,PRINTED,99.757,0.18740,0.64793,4,[0.00]
[06ddd69a-a15c-49b2-98d3-98cd43866510],WORD,HANDWRITING,53.805,0.17919,0.71521,4,[in]
[310de991-7a45-4087-9391-5cdc0e6c23bd],WORD,PRINTED,85.569,0.17834,0.78001,4,[0.20]
[a3dee5bd-ffaf-4971-992c-002d93b29c07],WORD,HANDWRITING,99.161,0.17990,0.84655,4,[0.00]
[d5c3c329-b3ed-470c-9c69-60a3065dba2f],WORD,PRINTED,97.973,0.18124,0.92814,4,[1]
[52428388-7c6a-4f0c-8daf-fe03d6dbbfa7],WORD,PRINTED,70.862,0.20219,0.12375,4,[-]
[d2da1601-5c40-4e69-8060-60475bd02343],WORD,PRINTED,49.262,0.19836,0.19085,4,[.]
[376e7a71-cd42-4c58-8d7e-5777b1335bc8],WORD,PRINTED,97.918,0.21756,0.06393,4,[1]
[08b29230-418e-4e54-ac70-584f557b1c51],WORD,HANDWRITING,94.280,0.20938,0.11107,4,[0.0]
[171b090a-7ca8-431c-a5eb-fc6702d3cb06],WORD,HANDWRITING,99.699,0.20841,0.17635,4,[0.00]
[a173a3f7-60c1-4b0d-8d4d-1bb540925e8b],WORD,HANDWRITING,97.656,0.20325,0.24108,4,[0.00]
[6bc03244-dcaf-4f30-b96f-8e06d214d61e],WORD,HANDWRITING,62.440,0.19773,0.31070,4,[0.000.00]
[3fdade15-fd66-4278-a6b4-d3bf56b94003],WORD,HANDWRITING,95.034,0.22574,0.23910,4,[0.5]
[9fcce56d-c4a4-4dea-bee2-50443f5471d5],WORD,HANDWRITING,99.754,0.21930,0.44065,4,[0.00]
[3a281950-5c22-4887-8932-a19640c2dc64],WORD,HANDWRITING,85.310,0.21324,0.57401,4,[0.5]
[3e70cd16-a965-4d54-abd0-9b88515fd257],WORD,HANDWRITING,71.702,0.21040,0.64350,4,[0.3]
[50539a48-8426-46e8-a958-c4d8efdce3e1],WORD,HANDWRITING,98.892,0.20949,0.70899,4,[0.00]
[77bddf0a-db59-4d88-8e55-0dddf70fc35d],WORD,HANDWRITING,96.817,0.20582,0.77888,4,[0.20]
[7b6391e0-f54d-4516-b6bc-80deb27896b7],WORD,HANDWRITING,84.739,0.20131,0.84801,4,[0.36]
[8f8d8ac3-25d9-4349-82e4-9a0e96a96bc4],WORD,HANDWRITING,98.890,0.20526,0.92885,4,[2]
[8c09f6be-9890-469b-8bfb-fb90fd18cc8e],WORD,HANDWRITING,80.156,0.21772,0.50573,4,[0.2]
[c74e6866-3b55-48ee-8dfb-aa98ee5b90a8],WORD,HANDWRITING,99.217,0.23364,0.10867,4,[0.0]
[57c48331-2036-4691-a0a5-b8f1e3a8334b],WORD,HANDWRITING,99.175,0.22979,0.17705,4,[0.00]
[778ddd91-240e-49c7-9b96-9a18b3562a07],WORD,HANDWRITING,87.940,0.24043,0.50651,4,[0.00]
[58ba70d5-5e34-4c51-bf01-a9e31191b51d],WORD,PRINTED,99.298,0.23852,0.57481,4,[0.00]
[a783b8c8-9aa7-4dfd-aaab-9cb1709b3f61],WORD,HANDWRITING,99.882,0.23319,0.71268,4,[0.00]
[86612fe3-c9a3-4189-a5f0-c25e8298f51f],WORD,HANDWRITING,93.856,0.22914,0.78201,4,[0.7]
[d7b0ae1c-9cc5-42a1-a865-8351b8eb0043],WORD,HANDWRITING,59.846,0.22741,0.85118,4,[1.00]
[856c6c2e-ac58-41f0-9f57-84f7a7c51c1b],WORD,HANDWRITING,98.542,0.22794,0.92973,4,[3]
